Date,Open,High,Low,Close,Volume
10/12/2023 15:30:00,110.2,113.25,109.5,109.85,117710894
10/13/2023 15:30:00,109.85,111.8,109.1,111,55786063
10/16/2023 15:30:00,111.9,112.75,110.85,111.5,47455521
10/17/2023 15:30:00,112.5,114.2,111.5,113.85,55351894
10/18/2023 15:30:00,114.5,115.1,109.5,113.2,100553806
10/19/2023 15:30:00,112,113.15,110.65,111.65,43517012
10/20/2023 15:30:00,114,114.5,112.15,113.35,64427436
10/23/2023 15:30:00,113.8,113.9,106.8,108.9,70944550
10/25/2023 15:30:00,105.65,109.5,105.55,108.25,59685089
10/26/2023 15:30:00,107.5,108,101.25,106.45,108605538
10/27/2023 15:30:00,107.35,109.25,105.05,105.65,43738547
10/30/2023 15:30:00,106.2,108.6,105.7,107.7,48282252
10/31/2023 15:30:00,107.85,108.15,104.25,105.1,49382539
11/1/2023 15:30:00,105.6,107.15,103.25,103.7,47911258
11/2/2023 15:30:00,105,108,104.9,107.55,47086204
11/3/2023 15:30:00,108.8,119.9,108.7,116.5,238833377
11/6/2023 15:30:00,119.6,123.9,118.25,123.3,186288904
11/7/2023 15:30:00,123.55,126.35,120.5,121.3,120886007
11/8/2023 15:30:00,122,125.7,121.3,125.15,75041688
11/9/2023 15:30:00,125.25,125.55,121.35,121.85,50307832
11/10/2023 15:30:00,122,123.3,120.7,121.3,43388163
11/13/2023 15:30:00,122.65,123.1,121.5,122.2,28348143
11/15/2023 15:30:00,123.3,125.2,119.75,120.25,60088818
11/16/2023 15:30:00,120.9,122.55,120.7,121.85,36895083
11/17/2023 15:30:00,122,125,121.5,122.2,43882213
11/20/2023 15:30:00,122.85,123.4,117.35,118.15,52784478
11/21/2023 15:30:00,118.55,119,116.05,116.5,45193553
11/22/2023 15:30:00,116,117.8,114.35,115.3,52799865
11/23/2023 15:30:00,113.6,115.75,112.5,112.95,56329090
11/24/2023 15:30:00,114.15,116,112.9,113.25,49980086
11/28/2023 15:30:00,114.9,116.9,113.5,113.8,61963724
11/29/2023 15:30:00,117,119.2,114,116.6,115274058
11/30/2023 15:30:00,118.8,120.7,116.15,118.55,225208168
12/1/2023 15:30:00,118,118.35,115.1,116.3,57261076
12/4/2023 15:30:00,118.75,119,116.25,117.4,66057180
12/5/2023 15:30:00,117.9,118.25,116.25,116.75,57483305
12/6/2023 15:30:00,117.15,119.7,116.6,118.9,48171753
12/7/2023 15:30:00,119.6,122.2,118.4,121.7,52483562
12/8/2023 15:30:00,123,123.9,119.3,119.95,44213196
12/11/2023 15:30:00,119.95,120.5,117.55,118.45,32372287
12/12/2023 15:30:00,119,119.3,114.15,116.75,40800538
12/13/2023 15:30:00,116.9,120.5,116.15,120,48092329
12/14/2023 15:30:00,121,124.95,120.5,124.15,74178495
12/15/2023 15:30:00,124.5,125,122.4,123.6,39542770
12/18/2023 15:30:00,123.4,129.2,121.55,128.55,89553155
12/19/2023 15:30:00,129,131.75,127.4,130.25,64117314
12/20/2023 15:30:00,130.35,131,123.15,124.75,49006056
12/21/2023 15:30:00,122.15,128.7,120.2,127.35,52326124
12/22/2023 15:30:00,130.55,131,125.3,128.5,63113800
12/26/2023 15:30:00,128.5,128.7,124.3,125,25499782
12/27/2023 15:30:00,125.7,127.6,125.55,127.05,21757560
12/28/2023 15:30:00,124.9,125.5,120.6,123.2,72865479
12/29/2023 15:30:00,124,125.55,123.25,123.7,27512604
1/1/2024 15:30:00,124.45,125.6,122.85,124.5,24228685
1/2/2024 15:30:00,127,129.45,125.5,128.7,69395959
1/3/2024 15:30:00,128.8,130.25,127.1,127.55,39101172
1/4/2024 15:30:00,128.4,130.9,126.45,129.75,45285624
1/5/2024 15:30:00,130.9,134.35,128.95,133.3,55608923
1/8/2024 15:30:00,133.65,133.65,130,132.85,38912423
1/9/2024 15:30:00,133.2,135,132.6,134.3,33803263
1/10/2024 15:30:00,134.25,136.15,132.25,134.65,29917881
1/11/2024 15:30:00,135.3,139,135.05,138.35,41809415
1/12/2024 15:30:00,140,141.5,136.8,139.55,45508277
